RUN	com.gatling.tests.API.APItesting	apitesting	1681311605180	API	3.6.1
USER	Get User by API	START	1681311606406
REQUEST		Get Single User	1681311606458	1681311606640	OK	 
USER	Get User by API	START	1681311606896
REQUEST		Get Single User	1681311606896	1681311607027	OK	 
USER	Get User by API	START	1681311607394
REQUEST		Get Single User	1681311607395	1681311607522	OK	 
USER	Get User by API	END	1681311607777
USER	Get User by API	START	1681311607903
USER	Get User by API	END	1681311608047
REQUEST		Get Single User	1681311607903	1681311608054	OK	 
USER	Get User by API	START	1681311608407
REQUEST		Get Single User	1681311608408	1681311608535	OK	 
USER	Get User by API	END	1681311608536
USER	Get User by API	START	1681311608882
REQUEST		Get Single User	1681311608883	1681311609010	OK	 
USER	Get User by API	END	1681311609072
USER	Get User by API	START	1681311609389
REQUEST		Get Single User	1681311609390	1681311609521	OK	 
USER	Get User by API	END	1681311609545
USER	Get User by API	START	1681311609892
USER	Get User by API	END	1681311610018
REQUEST		Get Single User	1681311609893	1681311610020	OK	 
USER	Get User by API	START	1681311610381
REQUEST		Get Single User	1681311610381	1681311610500	OK	 
USER	Get User by API	END	1681311610537
USER	Get User by API	START	1681311610885
REQUEST		Get Single User	1681311610886	1681311611005	OK	 
USER	Get User by API	END	1681311611027
USER	Get User by API	END	1681311611518
USER	Get User by API	END	1681311612023
